Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
Filam Tribune,2016,https://filamtribune.com/,,"Chicago, IL",Illinois,(630) 863-2999,filamtribune@outlook.com,Filipino American,Filipino American,Conservative,English,Website,Website,Weekly,National,"Local,National,Diasporic",https://twitter.com/filamtribune,https://www.facebook.com/filamtribune/,https://www.youtube.com/@filamtribune,
Filipina on the Rise,2019,https://filipinaontherise.com/ ,,"Austin, TX",Texas,(415) 309-2937,krystl@filipinaontherise.com ,Filipino American,Filipino American,Women,English,Podcast,"Podcast,Newsletter,Website",Weekly,National,National,,"https://www.facebook.com/groups/122368666437620
","https://www.youtube.com/@filipinaontherise
",verified
Filipino American Journal,1998,https://azfilamjournal.net/,85053,"Phoenix, AZ",Arizona,(602) 863-4460,filipinoamericanjournal@gmail.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Website",Bimonthly,Local,Local,,https://facebook.com/302673295011,,
Filipino La.,2016,https://filipinola.com/,,"Lafayette, LA",Louisiana,,,Filipino American,Filipino American,Archive and History,English,Website,Website,Monthly,Local,Local,https://twitter.com/randygon,https://facebook.com/FilipinoLouisiana/,,
Filipino-American National News on KFAI 90.3 FM in Minneapolis and 106.7 FM in St. Paul,2004,https://kfai.org/program/filipino-american-news/,55454,"Minneapolis, MN",Minnesota,(651) 332-6774,alanbungue@aol.com ,Filipino American,Filipino American,,English,Radio,"Radio,Website",Weekly,National,"Local,National",,https://facebook.com/Filipino-American-National-News-273273989425396/,,
Flux Hawai'i,2010,https://fluxhawaii.com/section/olelo-hawaii/,96817,"Honolulu, HI",Hawaii,(808) 688-8349,contact@fluxhawaii.com,Native Hawaiian,"Native Hawaiian,Pacific Islander,Asian American,Multiethnic",,"ōlelo Hawai'i ,English",Magazine,Magazine,Biannual,Local,Local,https://twitter.com/FLUXhawaii,https://www.facebook.com/fluxhawaii/,https://www.youtube.com/@FLUXHawaii,verified
Foreign Bodies,2017,https://foreignbodies.substack.com/,30307,"Atlanta, GA",Georgia,,4nbodies@gmail.com,AAPI,"Asian American,Pacific Islander",Immigrant mental health,English,Newsletter,Newsletter,Bimonthly,National,"Local,National",https://x.com/4nbodies,https://www.facebook.com/4nbodies/,,verified
Fujisankei Communications International: Los Angeles,1986,https://fujisankei.com/,90045,"Los Angeles, CA",California,(310) 553-5828,,Japanese American,Japanese American,,Japanese,Television,"Television,Website",Daily,Local,Local,,,,
Fujisankei Communications International: New York Office,1986,https://fujisankei.com/,10022,"New York, NY",New York,(212) 753-8100,info@fci-ny.com,Japanese American,Japanese American,,Japanese,Television,"Television,Website",Daily,Local,Local,https://twitter.com/fci_ny,https://www.facebook.com/Fujisankei/,https://www.youtube.com/@fci,
"Fujisankei Communications International: Washington, D.C.",1986,https://fujisankei.com/,20045,"Washington, D.C.","Washington, D.C.",(202) 347-1600,fujidc@verizon.net,Japanese American,Japanese American,,Japanese,Television,"Television,Website",Daily,Local,Local,,,,
GAT Insight,2023,https://gasiantimes.com/gat-insight/,30024,"Suwanee, GA",Georgia,(678) 971-9388,gat@gasiantimes.com,AAPI,"Asian American,Pacific Islander",,English,Podcast,Podcast,Monthly,Local,Local,,,,
Generasian,2010,https://generasian.blog/,10012,"New York, NY",New York,,nyu.generasian@gmail.com,Asian American,Asian American,Student-led (NYU),English,Magazine,"Magazine,Website",Biannual,Local,Local,https://twitter.com/nyugenerasian?lang=en,https://facebook.com/nyu.generasian/,https://www.youtube.com/@NYUGenerasian,
Georgia Asian Times,2004,https://gasiantimes.com/,30024,"Suwanee, GA",Georgia,(678) 971-9388,gat@gasiantimes.com,AAPI,"Asian American,Pacific Islander",,English,Website,"Website,Newsletter,Podcast",Daily,Local,Local,https://twitter.com/GaAsianTimes,https://www.facebook.com/AsianTimesGA,https://www.youtube.com/@asiantimesga,verified
Georgia Korean Podcast,2022,https://georgia-korean-podcast.captivate.fm/,30024,"Suwanee, GA",Georgia,(678) 971-9388,gat@gasiantimes.com,Korean American,Korean American,,Korean,Podcast,Podcast,Monthly,Local,Local,,,,
Global Chinese Times,1991,https://gctimes.net/,08817,"Edison, NJ",New Jersey,(732) 650-9888,chiweekly@yahoo.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Weekly,Local,Local,,,,
Global Punjab TV,2016,https://globalpunjabtv.com/,07652,"Paramus, NJ",New Jersey,(201) 281-4889,info@globalpunjabtv.com,Indian American,"Indian American,Pakistani American,South Asian American",,Punjabi,Television,"Television,Radio,Website",24/7,Diasporic,"Local,National,Diasporic",,https://www.facebook.com/globalpunjabhd?locale=ms_MY,https://www.youtube.com/c/GlobalPunjabTV,
Guam Shinbun,1986,https://guam-shinbun.com/,96931,"Tamuning, Guam",Guam,(671) 646-8712,guamshinbun.editor@gmail.com,Japanese American,Japanese American,,Japanese,Newspaper,"Newspaper,Website",Weekly,Local,"Local,Diasporic",https://twitter.com/guam_shinbun,https://facebook.com/GuamShinbun/,https://www.youtube.com/@guamblogshimbun79,
Gujarat Darpan,1994,https://gujaratdarpan.com,08830,"Iselin, NJ",New Jersey,(732) 983-9286,gujaratdarpan@gmail.com,Indian American,Indian American,,"Gujarati,English",Magazine,"Magazine,Digital Magazine,Website",Monthly,Local,Local,https://twitter.com/gujarat_darpan,https://facebook.com/pages/Gujarat-Darpan/1462762567275898,https://youtube.com/user/gujaratdarpan/videos,
Gujarat Times News,1999,https://gujarattimesusa.com,08820,"Edison, NJ",New Jersey,(212) 675-7515,gujtimesusa@gmail.com,Indian American,Indian American,,Gujarati,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,National,National,https://twitter.com/GujaratTimesUSA,https://facebook.com/GTnewspaper/,,verified
Hafa Adai Yu,2021,https://hafa-adai-yu.captivate.fm/listen,96929,"Dededo, Guam",Guam,,radioprod@kuam.com,Guamanian,Guamanian,LGBTQ ,English,Podcast,Podcast,Monthly,Local,Local,,https://www.facebook.com/watch/?v=422560912044774,https://www.youtube.com/watch?v=VZPhRK_SxPQ,
Hafteh Bazaar,1995,https://haftehbazaar.com/,91436,"Encino, CA",California,(818) 501-5551,info@haftehbazaar.com,Iranian American,"Iranian American,Central Asian American",,Farsi,Magazine,"Magazine,Website",Weekly,Local,Local,https://twitter.com/haftehbazaar,https://www.facebook.com/HaftehBazaarMagazine/,,
Hairenik Weekly,1934,https://hairenikweekly.com/,02472,"Watertown, MA",Massachusetts,(617) 926-3974,editor@hairenikweekly.com,Armenian American,Armenian American,,Armenian,Newspaper,"Newspaper,Website,Radio",Weekly,Diasporic,Diasporic,https://twitter.com/ArmenianWeekly,https://www.facebook.com/ArmenianWeekly,https://www.youtube.com/@armenianweekly5999,
Hankook TV,2019,https://tvhankook.com/,90010,"Los Angeles, CA",California,(323) 692-2121,support@tvhankook.com,Korean American,Korean American,,Korean,Television,"Television,Website",24/7,National,National,,https://www.facebook.com/profile.php?id=100064812647492,https://www.youtube.com/@tvhankook,
Hanmi Radio on KZSJ on 1120 AM and 101.7 FM,1990,https://hanmiradio.com/,95054,"Santa Clara, CA",California,(408) 970-1400,webmaster@hanmiradio.com,Korean American,Korean American,,Korean,Radio,"Radio,Website",24/7,Local,Local,,,,
Hawai'i Radio Connection on KXPA 1540 AM and KBCS 91.3 FM,1995,https://www.hawaiiradioconnection.com/,98122,"Seattle, WA",Washington,(206) 406-7813,braddahgomes@yahoo.com,Native Hawaiian,"Native Hawaiian,Pacific Islander",,English,Radio,Radio,Weekly,Local,"Local,Diasporic",https://twitter.com/braddahgomes,https://www.facebook.com/HawaiiRadioConnection/,,
Hawaii Arukikata,2004,https://hawaii-arukikata.com/,96814,"Honolulu, HI",Hawaii,(808) 949-4592,editor@hawaii-arukikata.com,Japanese American,"Japanese American,Korean American",Travel and Tourism,"Japanese,Korean,English",Website,Website,Daily,Local,"Local,Diasporic",https://twitter.com/hawaiiarukikata,https://www.facebook.com/myhawaiiarukikata/,https://www.youtube.com/@MyHawaiiWebMagazine,
Hawaii Hochi,1912,https://thehawaiihochi.com/,96819,"Honolulu, HI",Hawaii,(808) 845-2255,editorial@thehawaiihochi.com,Japanese American,Japanese American,,"Japanese,English",Newspaper,"Newspaper,Website",Daily,Local,Local,https://twitter.com/hawaiihochi?lang=en,https://www.facebook.com/profile.php?id=100063539980631,,
hi INDiA,2008,https://hiindia.com/,60659,"Chicago, IL",Illinois,(773) 338-0222,hemant@hiindiaweekly.com,Indian American,"Indian American,South Asian American",,English,Newspaper,"Newspaper,Website",Weekly,National,National,,https://www.facebook.com/hiindiaNews,https://www.youtube.com/@hiindiaLIVE,
Hindutva Watch,2021,https://hindutvawatch.org/,,"Washington, D.C.","Washington, D.C.",(202) 596-7022,contact@hindutvawatch.org,Indian American,"Indian American,South Asian American",Human Rights and Minority Rights,English,Website,"Newsletter,Reports,Website",Daily,Diasporic,Diasporic,https://twitter.com/HindutvaWatchin,https://www.facebook.com/hindutvawatchIn/,https://www.youtube.com/channel/UCBdjsaA9uuIrX2j7cJMZQyQ,verified
Hmong American Ink and Stories (HAIS),2019,https://haisfresno.wordpress.com/,93740,"Fresno, CA",California,(559) 278-1569,haisfresnostate@gmail.com,Hmong American,"Hmong American,Asian American,Pacific Islander,Multiethnic",Student-led literary magazine,"Hmong,English",Magazine,"Magazine,Digital Magazine,Website",Annual,National,"National,Diasporic",https://x.com/haisfresno,https://www.facebook.com/haisfresno/,https://www.youtube.com/@haisfresnostate7505,
Hmong American Reachout Radio Program on KFAI 90.3 FM Minneapolis and 106.7 FM St. Paul,2018,https://kfai.org/hmongamericanreachout,55454,"Minneapolis, MN",Minnesota,(651) 472-2858,suavlwm@yahoo.com,Hmong American,Hmong American,,"Hmong,English",Radio,"Radio,Website",Weekly,Local,"Local,National,Diasporic",,,,
Hmong Daily News,2020,https://hmongdailynews.com/,95819,"Sacramento, CA",California,(916) 970-7711,news@hmongdailynews.com,Hmong American,Hmong American,,English,Website,"Newsletter,Website",Biweekly,National,"Local,National",https://twitter.com/Thongde65368193,https://www.facebook.com/hmongdailynews/,https://www.youtube.com/@hmongdailynews1547,verified
"Hmong Radio Broadcast 106.7 FM, K102.1 FM HD3, WIXK 1590 AM, 103.3 FM",2014,https://hmongradiobroadcast.com/,55130,"St. Paul, MN",Minnesota,(651) 772-9999,info@HmongRadioBroadcast.com,Hmong American,Hmong American,,Hmong,Radio,"Radio,Website",Daily,Local,Local,,https://www.facebook.com/hmong.radio.broadcast,https://www.youtube.com/@hmongradiobroadcastchannel1243,
Hmong Radio KFXN 690 AM,2011,https://hmongradioam690.com,55130,"St. Paul, MN",Minnesota,(612) 810-6412,kfxn690am@gmail.com,Hmong American,Hmong American,,"Hmong,English",Radio,"Radio,Website",Daily,Local,Local,,,,
Hmong Times,1998,https://hmongtimes.com,54021,"Prescott, WI",Wisconsin,(651) 224-9395,hmongtimes@gmail.com,Hmong American,Hmong American,,English,Newspaper,"Newspaper,Website",Bimonthly,Local,Local,https://twitter.com/HmongTimes,https://www.facebook.com/hmongtimesnewspaper/,,verified
Hmong Today (Xov-Xwm Hmoob),2003,,55116,"St. Paul, MN",Minnesota,(651) 489-0021,hmongtoday1@gmail.com,Hmong American,Hmong American,,"Hmong,English",Newspaper,Newspaper,Biweekly,Local,Local,,https://www.facebook.com/hmongtodaymn/,https://www.youtube.com/@hmongnewstoday1687,verified
Hmong TV Network,2002,https://hmongtvnetwork.com/,93612,"Clovis, CA",California,(559) 475-0045,info@hmongtvnetwork.com,Hmong American,Hmong American,,Hmong,Television,"Television,Website",24/7,Local,Local,https://twitter.com/HmongInc,https://www.facebook.com/hmongtvnetworkinc/,https://www.youtube.com/@HmongTVNetwork,
HmongUSA TV,2011,https://hmongusatv.com/,93726,"Fresno, CA",California,(559) 292-4960,production@hmongusatv.com,Hmong American,Hmong American,,Hmong,Television,"Television,Website",24/7,National,National,https://twitter.com/hmongusatv,https://www.facebook.com/hmongusa,https://www.youtube.com/@HmongUSATV,
Hoa Thịnh Đốn Việt Báo,1984,https://htdvietbao.net/,22003,"Annandale, VA",Virginia,(703) 339-9852,htdvietbao@aol.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Digital Newspaper",Weekly,Local,Local,,,,
Huaren One Media,2014,https://huarenone.com/,,"San Gabriel, CA",California,(626) 347-5619,huarenone@gmail.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Website,Website,Daily,Local,Local,https://twitter.com/weichisun,https://www.facebook.com/weichi.sun.10,https://www.youtube.com/@huarenone,
Hum Hindustani USA,2011,https://humhindustaniusa.com/,11801,"Hicksville, NY",New York,(516) 515-9575,humhindustaniusa@gmail.com,Indian American,Indian American,,"Hindi,English",Newspaper,"Newspaper,Newsletter,Website",Weekly,National,"National,Diasporic",,https://www.facebook.com/HumHindustaniusa/?locale=hi_IN,,verified
Hyphen,2002,https://hyphenmagazine.com/,94108,"San Francisco, CA",California,(650) 400-3411,hyphen@hyphenmagazine.com,AAPI,"Asian American,Pacific Islander",Literary,English,Digital Magazine,"Digital Magazine,Website",Quarterly,National,National,,,,
Hyundae News USA,2017,https://hdnewsusa.com/,94803,"San Francisco, CA",California,(415) 515-1163,hdnewsusa@gmail.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,"https://www.facebook.com/dong.kim.779
",,verified
ʻŌiwi Television,2007,https://oiwi.tv/,96822,"Honolulu, HI",Hawaii,(808) 536-8978,feedback@oiwi.tv,Native Hawaiian,Native Hawaiian,,"ōlelo Hawai'i ,English",Television,"Television,Website",Monthly,Local,Local,https://twitter.com/OiwiTV,https://www.facebook.com/OiwiTV/,https://www.youtube.com/@OiwiTV,
I ❤️ SF Journal,2010,https://go20.com/index.php,95051,"Santa Clara, CA",California,(408) 205-6340,TheSFJournal@gmail.com,Korean American,Korean American,,Korean,Magazine,"Magazine,Website",Monthly,Local,Local,,,,
ICITI News,1996,https://icitynewsweek.com/,91790,"West Covina, CA",California,(626) 856-3889,info@edimediainc.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Traditional),English",Magazine,"Magazine,Website",Weekly,Local,Local,,,,
ICITI Radio KWRM 1370 AM,1993,https://www.edimediainc.com/en/ge-radio-network/,91790,"West Covina, CA",California,(626) 856-3889,info@edimediainc.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Traditional),English",Radio,Radio,24/7,Local,Local,,,,
ICITI TV,1990,https://www.edimediainc.com/en/ge-tv/,91790,"West Covina, CA",California,(626) 856-3889,info@edimediainc.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Traditional),English",Television,Television,24/7,Local,Local,,,,
India Bulletin,2004,https://indiabulletinusa.com/,60076,"Skokie, IL",Illinois,(847) 674-7941,info@indiabulletinusa.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Digital Newspaper",Bimonthly,Local,"Local,National",https://twitter.com/India_Bulletin,https://www.facebook.com/IndiaBulletin/,,
India Currents,1987,https://indiacurrents.com/,95148,"San Jose, CA",California,(408) 913-1612,editor@indiacurrents.com,Indian American,"Indian American,South Asian American,Asian American",,English,Website,"Newsletter,Website",Daily,Local,"Local,National,Diasporic",twitter.com/indiacurrents,facebook.com/IndiaCurrents,https://www.youtube.com/@Indiacurrents,verified
India Herald,1995,https://india-herald.com/,77487,"Sugar Land, TX",Texas,(281) 799-9459,Editor@india-herald.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Weekly,Local,Local,,https://facebook.com/Indiaherald/,,
India New England News,2000,https://indianewengland.com/,02451,"Waltham, MA",Massachusetts,(781) 373-3220,editorial@mishragroup.com,Indian American,"Indian American,South Asian American",Business,English,Newspaper,"Newspaper,Newsletter,Television,Website",Daily,Local,Local,https://twitter.com/IndiaNewEngland,https://www.facebook.com/indianewengland,https://www.youtube.com/@inenewsmultimedia5948,
India Overseas Report,2020,https://www.indiaoverseasreport.com/,06829,"Georgetown, CT",Connecticut,,Editor@indiaoverseasreport.com,Indian American,Indian American,,English,Website,"Website,Newsletter",Daily,National,"National,Diasporic",,,,verified
India Parent Magazine,1997,https://www.indiaparentmagazine.org/index.php,95110,"San Jose, CA",California,(408) 254-0954, info@indiaparentmagazine.org,Indian American,"Indian American,South Asian American","Schools, Education, and Parenting
",English,Magazine,"Magazine,Newsletter,Website",Monthly,Local,Local,https://x.com/indiaparent,https://www.facebook.com/indiaparentmagazine/,https://www.youtube.com/indiaparentmagazine,
India Post,1993,https://indiapost.com/,94538,"Fremont, CA",California,(510) 938-8667,vidya@indiapost.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,"Local,National,Diasporic",https://twitter.com/IndiaPost_News,https://www.facebook.com/indiapost/,,
India Tribune,1977,https://indiatribune.com/,60659,"Chicago, IL",Illinois,(773) 588-5077,prashant@indiatribune.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Weekly,National,National,https://twitter.com/IndiaTribune,https://www.facebook.com/IndiaTribune/,https://www.youtube.com/@India-Tribune,
IndiaLife TV,2015,https://indialife.tv,08854,"Piscataway, NJ",New Jersey,(917) 662-1122,indialifetv@gmail.com,Indian American,Indian American,,"Hindi,English",Television,"Television,Newsletter,Website",24/7,National,National,,https://facebook.com/indialife.tv/,https://www.youtube.com/@indialifetelevision1949,
IndiaWest Journal,1975,https://indiawest.com/,90703,"Cerritos, CA",California,(866) 621-9370,editor@indiawest.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Newsletter,Website",Monthly,Local,"Local,National",https://twitter.com/IndiaWest,https://www.facebook.com/indiawestnews,https://www.youtube.com/@IndiaWestProfile,
Indica,2018,https://indicanews.com/,94582,"San Ramon, CA",California,(925) 964-7468,indica@indicanews.com,Indian American,"Indian American,South Asian American",,English,Newsletter,"Newsletter,Website",Weekly,Local,"Local,National",https://twitter.com/indicanews1,https://facebook.com/indicanews/,https://www.youtube.com/@indicanews,verified
Indo American News,1982,https://indoamerican-news.com/,77077,"Houston, TX",Texas,(713) 789-6397,indoamericannews@yahoo.com,Indian American,"Indian American,South Asian American",,English,Newspaper,"Newspaper,Digital Newspaper,Radio,Podcast,Website",Weekly,Local,Local,https://twitter.com/indoamericannew,https://facebook.com/IANews1982/,https://www.youtube.com/@indoamericannews,verified
Indonesia Media,1998,https://indonesiamedia.com/,91702,"Covina, CA",California,(626) 335-9833,drirawan@indonesiamedia.com,Indonesian American,Indonesian American,"Human Rights, Chinese Indonesian American",Bahasa Indonesia,Magazine,"Magazine,Newsletter,Television,Radio,Website",Bimonthly,Local,"Local,Diasporic",https://twitter.com/IndonesiaMedia,https://www.facebook.com/profile.php?id=100068519125410,https://www.youtube.com/@INDONESIAMEDIAIDM,
Indonesian Lantern,2013,https://indonesianlantern.com/,19145,"Philadelphia, PA",Pennsylvania,(215) 917-9418,editorial@indonesianlantern.com,Indonesian American,Indonesian American,,"Bahasa Indonesia,English",Website,Website,Monthly,Local,"Local,National",https://twitter.com/Indolantern,https://www.facebook.com/indonesianlantern,https://www.youtube.com/@IndonesianLantern,verified
IndUS Business Journal,2000,https://indusbusinessjournal.com/,02451,"Waltham, MA",Massachusetts,(781) 622-5900,editorial@indusbusinessjournal.com,Indian American,"Indian American,South Asian American",Business and Professionals,English,Website,"Newsletter,Website",Daily,National,"Local,National",https://twitter.com/IndusBiz,https://facebook.com/indusbusinessjournal/,,
Initium Media,2015,https://theinitium.com/,,Singapore,International,,editor@theinitium.com,Chinese-Speaking,"Chinese American,Hong Kong Chinese American,Taiwanese American,Chinese Diaspora",Chinese Diaspora,Chinese (Traditional),Website,Website,Daily,Diasporic,Diasporic,https://twitter.com/initiumnews,https://www.facebook.com/theinitium,https://www.youtube.com/@Theinitiummedia,verified
International Examiner,1974,https://iexaminer.org,98104,"Seattle, WA",Washington,(206) 624-3925,iexaminer@iexaminer.org,AAPI,"Asian American,Pacific Islander","Hyperlocal, Seattle Chinatown",English,Newspaper,"Newspaper,Website",Monthly,Local,Local,https://twitter.com/iexaminer,https://www.facebook.com/internationalexaminer,https://www.youtube.com/@InternationalExaminerSeattle,verified
Iran Times International,1970,https://iran-times.com/,20007,"Washington, D.C.","Washington, D.C.",(202) 659-9868,news@iran-times.com,Iranian American,Iranian American,,English,Newspaper,"Newspaper,Website",Weekly,National,National,,,,
Iranshahr News Agency,1996,http://www.iranshahrnewsagency.com/,91403,"Pacoima, CA",California,(310) 427-6411,Iranshahr@ketab.com,Iranian American,Iranian American,,Farsi,Newspaper,"Newspaper,Magazine,Digital Magazine,Newsletter,Television",Weekly,Local,"Local,National",https://twitter.com/KetabCorp,https://www.facebook.com/iranshahrweekly/,,
Island Block Network,2015,https://islandblocknetwork.com/,90745,"Carson, CA",California,(213) 570-7411,islandblocknetwork@gmail.com,Pacific Islander,Pacific Islander,"Arts and Music, Islanesian",English,Radio,"Radio,Television,Podcast,Website",Daily,Local,"Local,Diasporic",https://twitter.com/IslandBLKRadio,https://www.facebook.com/IslandBlockRadio,https://www.youtube.com/islandblocktv,
Island Times,2005,https://islandtimes.org/,96940,"Koror, Palau",Palau,(680) 488-3420,islandtimes05@gmail.com,Palauan,Palauan,,English,Website,Website,Biweekly,Diasporic,"Local,Diasporic",https://twitter.com/palautimes,https://facebook.com/islandtimespw/,,
ITV Gold,1976,https://itvgold.com/,08820,"Long Island City, NY",New York,(718) 784-8555,iq@itvgold.com,Indian American,"Indian American,Indo-Caribbean American,South Asian American",,"Hindi,Gujarati,Tamil,Telugu,Urdu,English",Television,Television,24/7,Local,"Local,Diasporic",https://twitter.com/itvgold?lang=en,https://www.facebook.com/itv.gold/,https://www.youtube.com/@itvgold,verified
Jadaliyya,2012,https://www.jadaliyya.com/,,"Washington, D.C.","Washington, D.C.",(703) 688-2745,info@Jadaliyya.com,Arab American,Arab American,Arab World and Middle East,"Arabic,Turkish,English,French",Digital Magazine,"Digital Magazine,Newsletter,Podcast,Reports,Website",Daily,Diasporic,Diasporic,https://twitter.com/jadaliyya,https://www.facebook.com/Jadaliyya/,https://www.youtube.com/@Jadaliyya,
Janelle So Productions,2017,https://sojannelle.com/,90274,"Rolling HIlls Estate, CA",California,(310) 951-8426,info@jannellesoproductions.com,Filipino American,Filipino American,,"Tagalog,English",Television,"Television,Website",Weekly,National,National,www.twitter.com/jannelleso,www.facebook.com/sojannelletv,www.youtube.com/sojannelletv,verified
Javanan Magazine,1987,https://javanan.com/,91303,"Canoga Park, CA",California,(818) 968-4437,info@javanan.com,Iranian American,Iranian American,,"Farsi,English",Magazine,"Magazine,Digital Magazine,Radio,Website",Weekly,Diasporic,"Local,National,Diasporic",https://twitter.com/JavananNews,https://www.facebook.com/javanan/,,
JIEMEN 姐们,2022,,,International,Massachusetts,(857) 763-6178,jmmag_work@163.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",Feminist,Chinese (Simplified),WeChat,"WeChat,Weibo,Podcast",Bimonthly,Diasporic,Diasporic,,,,verified
Joy Seattle News,2008,https://joyseattle.com/,98057,"Renton, WA",Washington,(206) 247-2325,editor@joyseattle.com,Korean American,Korean American,,Korean,Website,Website,Daily,Local,Local,,,,verified
JoySauce,2022,https://joysauce.com/,98199,"Seattle, WA",Washington,,info@joysauce.com,AAPI,"Asian American,Pacific Islander",,English,Website,"Website,Podcast",Daily,National,National,https://twitter.com/joysauce_,https://www.facebook.com/joysauceofficial/,https://www.youtube.com/@joysauceofficial2653,verified
Jungle City,1998,https://junglecity.com/,98109,"Seattle, WA",Washington,(347) 574-9652,info@junglecity.com,Japanese American,Japanese American,,Japanese,Website,"Digital Newspaper,Website",Daily,Local,Local,https://twitter.com/junglecity,https://facebook.com/junglecity1998,,
Justice Patch,2020,https://www.justicepatch.org/,94108,"San Francisco, CA",California,(415) 274-6750,contact@justicepatch.org,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",Progressive,Chinese (Simplified),Website,"WeChat,Newsletter,Reports,Website",Daily,National,National,,,,verified
K Herald Georgia / Alabama,2023,http://kheraldatl.com/,30097,"Duluth, GA",Georgia,(770) 454-9655,,Korean American,Korean American,Second-generation Korean Americans,English,Newspaper,"Newspaper,Website",Weekly,Local,Local,,,,
K News Atlanta,2021,http://knewsatlanta.com/,,"Suwanee, GA",Georgia,(678) 396-7777,news@knewsatlanta.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Radio,Television,Newsletter,Website",Weekly,Local,Local,,https://www.facebook.com/knewsatlanta/,https://www.youtube.com/@eugeneleetv5776,
K-Radio WWRU 1660 AM,2004,https://am1660.com/,11361,"Bayside, NY",New York,(718) 352-1660,info@kradio1660.com,Korean American,Korean American,,Korean,Radio,"Radio,Website",Daily,Local,Local,https://twitter.com/Am1660K,https://www.facebook.com/am1660kradio/,https://www.youtube.com/@AM1660KRadio,verified
Ka Ulu Hoi,1972,https://kauluhoi.org/,96822,"Honolulu, HI",Hawaii,(808) 956-3553,kauluhoi@gmail.com,Native Hawaiian,"Native Hawaiian,Multiethnic",,ōlelo Hawai'i ,Newspaper,"Newspaper,Digital Newspaper,Website",Monthly,Local,Local,,https://facebook.com/kauluhoi.nupepa,,verified
Ka Wai Ola News,1980,https://kawaiola.news/,96817,"Honolulu, HI",Hawaii,(808) 594-1888,kwo@oha.org,Native Hawaiian,Native Hawaiian,,"ōlelo Hawai'i ,English",Newspaper,"Newspaper,Newsletter,Website",Monthly,Local,Local,https://twitter.com/kawaiolanews,https://www.facebook.com/kawaiolanews/,https://www.youtube.com/@OHAHawaii,
Kabari News,2007,https://kabarinews.com/,94122,"San Francisco, CA",California,(415) 213-7323,info@kabarinews.com,Indonesian American,Indonesian American,,Bahasa Indonesia,Magazine,"Magazine,Digital Magazine,Television,Website",Monthly,Local,Local,https://twitter.com/kabarinews,https://www.facebook.com/kabarimagazine/,https://www.youtube.com/@Kabaritv,
Kandit News,2018,https://kanditnews.com/,96910,"Hagåtña, Guam",Guam,(671) 922-6397,news@kanditnews.com,Guamanian,"Filipino American,Guamanian,Marshallese,Micronesian,Palauan,Pacific Islander,Multiethnic",,English,Website,Website,Daily,Local,Local,https://twitter.com/kanditnews,https://facebook.com/kanditnews/,"youtube.com/@KanditNewsGroup
",verified
Karen1TV,2012,https://www.youtube.com/@KAREN1TV,,"Utica, NY",New York,,tqcproduction@yahoo.com,Karen American,"Karen American,Burmese American,Southeast Asian American",,"Karen,English",Television,Television,Monthly,Local,Local,,https://www.facebook.com/karen1tv,youtube.com/@KAREN1TV/,
Kaur Republic Media Group,2016,https://kaurrep.substack.com/,,"Queens, NY",New York,,kaurrepublic@gmail.com,Indian American,"Indian American,South Asian American",Sikh and Punjabi Womxn,English,Newsletter,"Newsletter,Podcast",Bimonthly,National,"National,Diasporic",https://twitter.com/KaurRepublic,,www.youtube.com/@kaurrepublic,verified
KAZN 1300 AM,1993,https://am1300.com/,91101,"Pasadena, CA",California,(626) 568-1300,1300radio@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Mandarin,Radio,"Radio,Website",24/7,Local,"Local,National,Diasporic",,https://facebook.com/kaznam1300,,
KBC Chicago WOCK CD,1994,https://www.kbcchicago.com/,60625,"Chicago, IL",Illinois,(773) 588-0070,kbcnews930@gmail.com,Korean American,Korean American,,Korean,Television,"Television,Website",24/7,Local,Local,https://twitter.com/kbcnews930,https://www.facebook.com/KBCchicago,https://www.youtube.com/kbcnews930,
